id;description;price;available;quantity;product_unit;details;discount
1;Steel;31485;OUT_OF_STOCK;82284;South support navigate;Chilean reboot Dynamic;70
2;THX Car;44573;AVAILABLE;13165;Card;navigating Michigan;32
3;Korea transmitting New;49167;AVAILABLE;4189;Malagasy intranet;neutral;4
4;Business-focused;16911;AVAILABLE;56622;Identity throughput Village;distributed indigo JSON;56
5;Implementation Awesome;52784;AVAILABLE;47574;Crossroad CSS;De-engineered;47
6;Center black pixel;28408;OUT_OF_STOCK;78380;Renminbi rich South;virtual Stand-alone Fantastic;4
7;mobile metrics;95618;AVAILABLE;94541;application grey solution;Massachusetts Ergonomic Ergonomic;5
8;deposit;42304;OUT_OF_STOCK;98208;Chair solution Zimbabwe;Chicken;62
9;Mobility Arkansas Kids;88593;OUT_OF_STOCK;90897;Algeria Rustic;Taka;91
10;optical functionalities;1542;AVAILABLE;54007;and multi-byte Frozen;Product;64
